shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
16,104,2,"1996,1998",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,105,4,"3745,3797,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,106,4,"3736,3797,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,107,4,"6,7,3768,3783",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,108,2,"1994,1995",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,109,2,"3768,3780",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,110,2,"1993,1994",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,111,4,"6,7,3768,3776",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,112,6,"6,7,3725,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,113,2,"3797,3798",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,114,4,"1962,1964,1994,1998",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,115,2,"3764,3768",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,116,2,"1951,1964",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,117,6,"6,7,3721,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,118,6,"6,7,3710,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,119,6,"6,7,3719,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,120,2,"3762,3768",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,121,2,"1948,1964",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,122,6,"6,7,3722,3768,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,123,4,"6,7,3791,3797",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,124,4,"1964,1966,1994,1998",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,125,4,"3740,3797,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,126,4,"1459,1460,2031,2033",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,127,4,"1451,1460,2029,2031",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,128,4,"1452,1460,2031,2032",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,129,2,"2030,2031",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,130,4,"1964,1994,2003,2031",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
