poincare_point_id,automaton_state_id,promoted_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag,promoted_window_repair_flag,promoted_only_flag
270,277,0,1,115065528000,97488804000,150811613000,24778961000,20993875000,0,0,0,0,0
271,278,0,1,96008697000,82718114000,126727883000,20675139000,17813058000,0,0,0,0,0
272,279,0,1,108785679000,97334203000,145973528000,23426618000,20960582000,0,0,0,0,0
273,280,0,1,93953408000,86383951000,127630051000,20232540000,18602483000,0,0,0,0,0
274,281,0,1,111731864000,100829249000,150500986000,24061068000,21713228000,0,0,0,0,0
275,282,0,1,98863351000,77526583000,125635716000,21289879000,16695080000,0,0,0,0,0
276,283,0,1,117508421000,103014976000,156270005000,25305030000,22183917000,0,0,0,0,0
277,284,0,1,97698869000,77592616000,124762506000,21039112000,16709300000,0,0,0,0,0
278,285,0,1,108888291000,97633741000,146249811000,23448715000,21025087000,0,0,0,0,0
279,286,0,1,116355280000,109823643000,159999324000,25056705000,23650140000,0,0,0,0,0
280,287,0,1,96242299000,81034896000,125814286000,20725444000,17450583000,0,0,0,0,0
281,288,0,1,108893080000,97620869000,146244784000,23449746000,21022315000,0,0,0,0,0
282,289,0,1,73404487000,83438493000,111131457000,15807401000,17968189000,0,0,0,0,0
283,290,0,1,84891575000,96061378000,128196599000,18281105000,20686484000,0,0,0,0,0
284,291,0,1,111024072000,124745725000,166996528000,23908648000,26863558000,0,0,0,0,0
285,292,0,1,86133305000,74400795000,113817505000,18548508000,16021952000,0,0,0,0,0
286,293,0,1,116186534000,94610319000,149834653000,25020366000,20374003000,0,0,0,0,0
287,294,0,1,117289279000,103652426000,156526677000,25257838000,22321189000,0,0,0,0,0
288,295,0,1,115281241000,93159097000,148217347000,24825414000,20061488000,0,0,0,0,0
289,296,0,1,108751656000,97961975000,146367590000,23419291000,21095771000,0,0,0,0,0
290,297,0,1,123678790000,118978431000,171616754000,26633797000,25621591000,0,0,0,0,0
291,298,0,1,113996914000,95990280000,149028287000,24548839000,20671173000,0,0,0,0,0
292,299,0,1,108756445000,97949104000,146362534000,23420322000,21092999000,0,0,0,0,0
293,300,0,1,84891575000,96061378000,128196599000,18281105000,20686484000,0,0,0,0,0
