cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
300,2224,20,79,1,1,-1,1062963295150,-860433468893,19637572,16,6160
301,2225,20,80,1,1,-1,1062963295150,-860433468893,19637572,16,6160
302,2226,20,81,1,1,-1,1062963295150,-860433468893,19637572,16,6160
303,2227,20,82,1,1,-1,1062963295150,-860433468893,19637572,16,6160
304,2228,20,83,1,1,-1,1062963295150,-860433468893,19637572,16,6160
305,2229,20,84,1,1,-1,1062963295150,-860433468893,19637572,16,6160
306,2285,21,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
307,2286,21,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
308,2287,21,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
309,2288,21,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
310,2289,21,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
311,2290,21,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
312,2291,21,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
313,2292,21,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
314,2293,21,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
315,2294,21,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
316,2300,21,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
317,2301,21,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
318,2302,21,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
319,2303,21,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
320,2304,21,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
321,2305,21,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
322,2306,21,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
323,2400,22,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
324,2401,22,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
325,2402,22,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
326,2403,22,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
327,2404,22,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
328,2405,22,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
329,2406,22,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
330,2407,22,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
331,2408,22,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
332,2409,22,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
333,2415,22,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
334,2416,22,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
335,2417,22,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
336,2418,22,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
337,2419,22,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
338,2420,22,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
339,2421,22,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
340,2514,23,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
341,2515,23,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
342,2516,23,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
343,2517,23,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
344,2518,23,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
345,2519,23,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
346,2520,23,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
347,2521,23,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
348,2522,23,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
