triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
164,4,3,2,12,11,7,2,3,4,27,26,20,20,26,27,1,1,63,6,167,64512,113920,216,3,3,41
165,4,3,3,12,11,11,3,3,4,27,27,21,21,27,27,1,1,54,4,88,11136,40832,216,2,2,47
166,4,3,4,12,11,12,3,4,4,27,28,22,22,27,28,1,1,54,4,88,15936,49792,216,1,1,49
167,4,3,5,12,11,19,3,4,5,27,29,22,23,27,29,1,1,62,5,146,134976,195584,216,1,1,50
168,4,4,0,12,12,1,0,4,4,28,24,24,24,24,28,1,1,47,5,117,28848,71424,216,2,2,18
169,4,4,1,12,12,4,1,4,4,28,25,25,25,25,28,1,1,47,5,121,24768,72192,216,2,2,33
170,4,4,2,12,12,7,2,4,4,28,26,26,26,26,28,1,1,63,6,155,69312,122880,216,2,2,43
171,4,4,3,12,12,11,3,4,4,28,27,27,27,27,28,1,1,54,4,88,15936,49792,216,2,2,49
172,4,4,4,12,12,12,4,4,4,28,28,28,28,28,28,1,1,38,3,58,20736,58752,216,0,0,52
173,4,4,5,12,12,19,4,4,5,28,29,28,29,28,29,1,1,62,5,134,139776,204544,216,0,0,53
174,4,5,0,12,19,1,0,4,5,29,30,24,30,24,29,1,1,63,6,173,147888,217216,216,2,2,19
175,4,5,1,12,19,4,1,4,5,29,31,25,31,25,29,1,1,63,6,177,143808,217984,216,2,2,34
176,4,5,2,12,19,7,2,4,5,29,32,26,32,26,29,1,1,63,6,185,188352,268672,216,2,2,44
177,4,5,3,12,19,11,3,4,5,29,33,27,33,27,29,1,1,62,5,146,134976,195584,216,2,2,50
178,4,5,4,12,19,12,4,4,5,29,34,28,34,28,29,1,1,62,5,134,139776,204544,216,1,1,53
179,4,5,5,12,19,19,4,5,5,29,35,29,35,29,35,1,1,62,5,134,258816,350336,216,0,0,54
180,5,0,0,19,1,1,0,0,5,30,30,0,0,30,30,1,1,59,5,146,156000,229888,216,2,2,5
181,5,0,1,19,1,4,0,1,5,30,31,1,1,30,31,1,1,63,6,167,151920,230656,216,2,2,10
182,5,0,2,19,1,7,0,2,5,30,32,2,2,30,32,1,1,59,5,168,196464,281344,216,2,2,14
