orbit_id,size,representative,member_a,member_b,fixed,nonzero
352,1,887,887,887,True,True
353,2,889,889,1407,False,True
354,2,890,890,1389,False,True
355,2,892,892,1903,False,True
356,2,895,895,1917,False,True
357,1,900,900,900,True,True
358,2,903,903,918,False,True
359,2,905,905,1438,False,True
360,2,906,906,1420,False,True
361,2,908,908,1934,False,True
362,2,911,911,1948,False,True
363,1,917,917,917,True,True
364,2,920,920,1423,False,True
365,2,923,923,1437,False,True
366,2,925,925,1951,False,True
367,2,926,926,1933,False,True
368,2,933,933,980,False,True
369,2,934,934,966,False,True
370,2,936,936,1486,False,True
371,2,939,939,1500,False,True
372,2,941,941,2014,False,True
373,2,942,942,1996,False,True
374,2,948,948,965,False,True
375,2,951,951,983,False,True
376,2,953,953,1503,False,True
377,2,954,954,1485,False,True
378,2,956,956,1999,False,True
379,2,959,959,2013,False,True
380,2,968,968,1454,False,True
381,2,971,971,1468,False,True
382,2,973,973,1982,False,True
383,2,974,974,1964,False,True
384,2,985,985,1471,False,True
385,2,986,986,1453,False,True
386,2,988,988,1967,False,True
387,2,991,991,1981,False,True
388,1,996,996,996,True,True
389,2,999,999,1014,False,True
390,2,1001,1001,1534,False,True
391,2,1002,1002,1516,False,True
392,2,1004,1004,2030,False,True
393,2,1007,1007,2044,False,True
394,1,1013,1013,1013,True,True
395,2,1016,1016,1519,False,True
396,2,1019,1019,1533,False,True
397,2,1021,1021,2047,False,True
398,2,1022,1022,2029,False,True
399,2,1025,1025,1040,False,True
400,1,1026,1026,1026,True,True
401,2,1028,1028,1536,False,True
402,2,1031,1031,1554,False,True
403,1,1043,1043,1043,True,True
404,2,1045,1045,1553,False,True
405,2,1046,1046,1539,False,True
406,2,1056,1056,1088,False,True
407,2,1059,1059,1106,False,True
408,2,1061,1061,1616,False,True
409,2,1062,1062,1602,False,True
410,2,1073,1073,1105,False,True
411,2,1074,1074,1091,False,True
412,2,1076,1076,1601,False,True
413,2,1079,1079,1619,False,True
414,2,1093,1093,1584,False,True
415,2,1094,1094,1570,False,True
416,2,1108,1108,1569,False,True
417,2,1111,1111,1587,False,True
418,2,1121,1121,1136,False,True
419,1,1122,1122,1122,True,True
420,2,1124,1124,1632,False,True
421,2,1127,1127,1650,False,True
422,1,1139,1139,1139,True,True
423,2,1141,1141,1649,False,True
424,2,1142,1142,1635,False,True
425,1,1152,1152,1152,True,True
426,2,1155,1155,1170,False,True
427,2,1157,1157,1680,False,True
428,2,1158,1158,1666,False,True
429,1,1169,1169,1169,True,True
430,2,1172,1172,1665,False,True
431,2,1175,1175,1683,False,True
432,2,1185,1185,1232,False,True
