transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
356,109,402,1,0,1,0,0,1,0,0,170677590,250000000000,17857142857,341355180,4778972521
357,109,697,1,0,1,0,0,1,0,0,170677590,250000000000,333333333334,341355180,256016385
358,110,111,1,0,1,0,0,1,0,0,170677590,333333333333,333333333334,256016385,256016385
359,110,415,1,0,1,0,0,1,0,0,170677590,333333333333,16949152543,256016385,5034988906
360,111,112,1,0,1,0,0,1,0,0,170677590,333333333333,500000000000,256016385,170677590
361,111,433,1,0,1,0,0,1,0,0,170677590,333333333333,12048192771,256016385,7083119987
362,112,450,1,0,1,0,0,1,0,0,170677590,500000000000,11235955056,170677590,7595152757
363,113,114,3,1,0,0,0,1,0,0,512032771,166666666667,250000000000,1536098310,1024065540
364,113,116,3,1,0,0,0,1,0,0,512032771,166666666667,125000000000,1536098310,2048131081
365,113,122,3,1,0,0,0,1,0,0,512032771,166666666667,187500000000,1536098310,1365420720
366,113,126,3,1,0,0,0,1,0,0,512032771,166666666667,166666666667,1536098310,1536098310
367,113,138,3,1,0,0,0,1,0,0,512032771,166666666666,187500000000,1536098310,1365420720
368,113,178,3,1,0,0,0,1,0,0,512032771,166666666666,88235294118,1536098310,2901519031
369,114,118,3,1,0,0,0,1,0,0,512032771,250000000000,83333333334,1024065540,3072196621
370,114,123,3,1,0,1,0,1,0,0,512032771,250000000000,333333333334,1024065540,768049155
371,114,181,3,1,0,0,0,1,0,0,512032771,250000000000,200000000000,1024065540,1280081925
372,115,116,3,1,0,0,0,1,0,0,512032771,157894736842,125000000000,1621437105,2048131081
373,115,127,3,1,0,0,0,1,0,0,512032771,157894736842,142857142858,1621437105,1792114696
374,115,130,3,1,0,0,0,1,0,0,512032771,157894736842,157894736842,1621437105,1621437105
375,115,140,3,1,0,0,0,1,0,0,512032771,157894736842,250000000000,1621437105,1024065540
376,115,147,3,1,0,1,0,1,0,0,512032771,157894736842,85714285715,1621437105,2986857826
377,115,183,3,1,0,0,0,1,0,0,512032771,157894736842,76923076924,1621437105,3328213006
378,115,700,1,0,1,0,0,1,0,0,170677590,52631578948,1000000000000,1621437105,85338795
