product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
654,45,38,962,945,890,13,1,1
655,18,17,907,897,890,13,1,1
656,27,15,926,895,890,13,1,1
657,17,25,897,921,890,13,1,1
658,13,42,890,956,890,13,1,1
659,15,16,895,896,890,13,1,1
660,39,44,951,961,890,13,1,1
661,38,30,945,930,890,13,1,1
662,41,29,955,928,890,13,1,1
663,44,33,961,935,890,13,1,1
664,45,46,962,964,890,13,1,1
665,43,47,960,965,890,13,1,2
666,38,45,945,962,890,13,1,1
667,48,31,969,932,890,13,1,1
668,29,41,928,955,890,13,1,1
669,30,46,930,964,890,13,1,1
670,31,34,932,938,890,13,1,1
671,46,45,964,962,890,13,1,1
672,52,29,978,928,890,13,1,1
673,39,49,951,973,890,13,1,1
674,30,38,930,945,890,13,1,1
675,49,33,973,935,890,13,1,1
676,12,24,886,917,890,13,1,2
677,12,27,886,926,890,13,1,1
678,40,20,954,909,890,13,1,1
679,53,27,981,926,890,13,1,1
680,55,25,983,921,890,13,1,1
681,28,18,927,907,890,13,1,1
682,28,23,927,916,890,13,1,1
683,28,26,927,923,890,13,1,1
684,12,20,886,909,890,13,1,1
685,13,14,890,893,890,13,1,1
686,15,20,895,909,890,13,1,1
687,17,20,897,909,890,13,1,1
688,19,18,908,907,890,13,1,1
689,22,18,912,907,890,13,1,2
690,19,21,908,910,890,13,1,1
691,28,16,927,896,890,13,1,1
692,17,27,897,926,890,13,1,1
693,15,27,895,926,890,13,1,1
694,13,20,890,909,890,13,1,1
695,19,16,908,896,890,13,1,1
696,28,42,927,956,890,13,1,1
697,19,25,908,921,890,13,1,1
698,22,25,912,921,890,13,1,1
699,29,39,928,951,890,13,1,1
700,29,32,928,934,890,13,1,1
701,30,39,930,951,890,13,1,1
702,31,48,932,969,890,13,1,1
703,35,46,940,964,890,13,1,2
704,36,38,941,945,890,13,1,1
705,37,33,943,935,890,13,1,1
706,37,47,943,965,890,13,1,1
707,54,20,982,909,890,13,1,1
708,40,27,954,926,890,13,1,1
709,13,24,890,917,890,13,1,1
710,13,27,890,926,890,13,1,1
711,19,26,908,923,890,13,1,1
712,19,23,908,916,890,13,1,1
713,28,25,927,921,890,13,1,1
714,29,48,928,969,890,13,1,1
715,43,32,960,934,890,13,1,2
716,44,39,961,951,890,13,1,1
717,45,39,962,951,890,13,1,1
718,35,38,940,945,890,13,1,1
719,37,38,943,945,890,13,1,1
