addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
713,305336,504232,1148272,1
714,304333,502712,1145514,1
715,303090,501096,1143032,1
716,301675,499384,1140678,1
717,300225,497576,1138034,1
718,298634,495672,1135384,1
719,297205,493672,1132038,1
720,295460,491576,1129108,1
721,293774,489384,1125776,1
722,292047,487096,1122238,1
723,290093,484712,1118862,1
724,288032,482232,1115424,1
725,286073,479656,1111486,1
726,283872,476984,1107752,1
727,281504,474216,1104136,1
728,279079,471352,1100246,1
729,276614,468392,1096176,1
730,273975,465336,1092238,1
731,271328,462184,1087944,1
732,268547,458936,1083614,1
733,266980,457296,1081920,1
734,266878,457024,1080954,1
735,266296,456152,1079200,1
736,266492,455592,1075242,1
737,266042,454792,1073442,1
738,265164,453464,1070872,1
739,265064,452448,1066098,1
740,264290,451120,1063284,1
741,263312,449600,1060160,1
742,262138,447888,1056850,1
743,260710,445768,1052874,1
744,260074,443960,1046644,1
745,258622,441720,1042320,1
746,256922,439288,1037796,1
747,255078,436544,1032700,1
748,253988,434016,1024942,1
749,252804,431392,1017258,1
750,251598,428720,1009464,1
751,249434,425448,1003312,1
752,248050,422488,994960,1
753,247227,420832,990244,1
754,247186,420880,991040,1
755,246639,420128,989800,1
756,246460,419792,989340,1
757,245779,418656,986792,1
758,245345,417488,983096,1
759,244863,416192,978992,1
760,244418,415152,976252,1
761,243452,413312,971528,1
762,242802,411568,965692,1
763,242100,409696,959488,1
764,241346,407696,952916,1
765,240540,405568,945976,1
766,239686,403312,938616,1
767,238806,401088,931704,1
768,237361,398064,923372,1
769,236266,395360,915320,1
770,235168,392528,906360,1
771,234003,389568,897132,1
772,232733,386480,888108,1
773,232482,385072,882636,1
774,232065,384992,883936,1
775,231533,384848,885164,1
776,230820,384160,884732,1
777,230584,383456,883058,1
778,230663,383184,882380,1
779,230018,382816,883046,1
780,229363,382384,883672,1
781,228644,381888,884026,1
782,227859,381328,884412,1
783,227173,380704,884252,1
784,226208,379600,882916,1
785,225772,378544,880454,1
786,225611,377856,878820,1
787,224688,377008,878368,1
788,223707,376096,877908,1
789,222819,375120,876920,1
790,221696,373712,874814,1
791,221124,372400,871722,1
792,220725,371408,869456,1
793,219532,369864,867000,1
794,218900,368440,863664,1
795,218419,367312,861240,1
796,217303,365952,859512,1
797,215976,364216,856788,1
798,215238,362632,853172,1
799,214474,361016,849524,1
800,213855,359656,846486,1
801,212588,358024,844082,1
802,211147,356328,842034,1
803,209486,354304,839086,1
804,208602,352480,835036,1
805,207831,350872,831506,1
806,206381,348952,828466,1
807,204782,346736,824642,1
808,203983,344976,820532,1
809,202501,342880,816916,1
810,200846,340512,812724,1
811,199949,338600,808390,1
812,198240,336136,803962,1
813,197162,333944,799012,1
814,196066,331720,793968,1
815,194962,329464,788798,1
816,193832,327176,783632,1
817,192688,324856,778350,1
818,191627,322648,773274,1
819,189746,319888,768186,1
820,188520,317456,762788,1
821,187270,314992,757370,1
822,186018,312496,751764,1
823,184756,309968,746010,1
824,183466,307408,740246,1
825,182150,304816,734472,1
826,180871,302272,728760,1
827,178792,299176,722890,1
828,177487,296536,716906,1
829,175215,293400,711398,1
830,172898,290200,705722,1
831,170572,286936,699976,1
832,168174,283576,694078,1
833,166668,280648,687558,1
834,165161,277704,680998,1
835,162654,274216,674766,1
836,160142,270664,668468,1
837,159960,269126,663418,1
838,159995,268806,662284,1
839,159852,268414,661258,1
840,159680,267950,660138,1
841,159426,267414,659006,1
842,159050,266806,657858,1
843,158729,266126,656340,1
844,158154,265374,655194,1
845,156926,264130,654182,1
846,157473,263354,648608,1
847,156740,262410,647082,1
848,156058,261394,645254,1
849,155252,260306,643458,1
850,154552,259146,641174,1
851,153568,257914,639318,1
852,152944,256610,636398,1
853,151874,255234,634310,1
854,150848,253786,631890,1
855,149616,252266,629738,1
856,148406,250674,627254,1
857,147056,249010,624834,1
858,146016,247274,621450,1
859,144638,245466,618638,1
860,143233,243586,615664,1
861,141578,241634,612958,1
862,139844,239610,610302,1
863,138106,237514,607434,1
864,136313,235346,604416,1
865,134358,233106,601542,1
866,132517,230794,598160,1
867,130416,228410,595050,1
868,128398,225954,591574,1
869,126490,223426,587602,1
870,124367,220826,583920,1
871,122020,218154,580534,1
872,119564,215410,577162,1
873,117216,212594,573282,1
874,115001,209706,568844,1
875,112380,206746,565142,1
876,109720,203714,561270,1
877,107138,200610,556978,1
878,104364,197434,552898,1
879,101488,194186,548850,1
880,98876,190866,543898,1
881,99705,191256,542920,1
882,99953,192528,548188,1
883,99714,192529,548789,1
884,100407,193589,551963,1
885,100782,194509,555339,1
886,100818,195362,559636,1
887,100897,196074,563156,1
888,100924,196651,566229,1
889,100630,197058,569698,1
890,100411,197431,572863,1
891,100229,197621,574471,1
892,99685,197743,577645,1
893,98126,196169,578931,1
894,98291,194987,559865,1
895,98739,194308,549986,1
896,98566,193585,547687,1
897,98406,192832,545120,1
898,98196,191943,542073,1
899,97853,190998,539724,1
900,97863,190711,539575,1
901,96727,189520,538286,1
902,96269,188395,535601,1
903,96082,187821,534965,1
904,95124,186981,535081,1
905,93752,185483,533345,1
906,93221,184139,529591,1
907,93152,183502,527730,1
908,91933,182108,525844,1
909,91470,180846,522298,1
910,90787,179283,518431,1
911,90719,177960,511224,1
912,89803,176161,507693,1
913,89648,174752,499770,1
914,89100,173166,494926,1
915,88657,172111,493169,1
916,87112,170258,490606,1
917,86300,168474,486346,1
918,86075,166935,478141,1
919,85372,165158,473180,1
920,84754,163774,470674,1
921,83402,162265,469313,1
922,82091,160757,467681,1
923,80291,158723,465029,1
924,79688,157285,461835,1
925,78091,155528,460334,1
926,76525,153449,456919,1
927,75803,151740,452458,1
928,74934,149798,447802,1
929,72776,146937,442749,1
930,71513,144456,437394,1
931,70297,142045,431943,1
932,69125,139503,425489,1
933,68466,137130,415924,1
934,67264,134463,408931,1
935,66609,132028,398194,1
936,65461,129621,392543,1
937,63282,126762,387830,1
938,61972,124188,382316,1
939,60759,121674,376264,1
940,59417,119078,370730,1
941,58761,116642,359978,1
942,57501,114003,353541,1
943,56179,111424,348092,1
944,55009,108975,342565,1
945,52707,106172,338648,1
946,50538,103297,333729,1
947,48233,100498,329706,1
948,45973,97810,326356,1
949,43859,95136,322404,1
950,42766,92673,316083,1
951,40551,89805,311599,1
952,39258,87134,305174,1
953,38099,84532,298320,1
954,36959,81947,291459,1
955,35687,79325,285173,1
956,34968,76785,275081,1
957,34288,74308,265118,1
958,33009,71755,259569,1
959,30706,68980,255620,1
960,28461,66135,251607,1
961,26278,63253,246947,1
